phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.8,0.01697530969977379,0.20979048311710358,-0.011840417981147766,0.6613636612892151
test,0.0,0.16454476118087769,0.2189277708530426,-0.0034700632095336914,0.020633060485124588
test,0.01,0.10794753581285477,0.21892768144607544,-0.0034699738025665283,0.0314510352909565
test,0.05,0.10073302686214447,0.21893349289894104,-0.003475785255432129,0.03370356187224388
test,0.1,0.09583333879709244,0.21895571053028107,-0.0034980028867721558,0.035426732152700424
test,0.2,0.08726852387189865,0.21895559132099152,-0.003497883677482605,0.038903623819351196
test,0.4,0.07195216417312622,0.21877029538154602,-0.0033125877380371094,0.046648792922496796
test,0.6,0.02361111156642437,0.21778316795825958,-0.0023254603147506714,0.1388888955116272
test,0.8,0.009567901492118835,0.2169087827205658,-0.0014510750770568848,0.22983871400356293
test,0.0,0.1534336507320404,0.2192734330892563,0.0005214810371398926,0.014583856798708439
test,0.01,0.10023148357868195,0.2192734032869339,0.0005215108394622803,0.02232486568391323
test,0.05,0.09251543879508972,0.21926303207874298,0.0005318820476531982,0.024186821654438972
test,0.1,0.0873456820845604,0.2191929668188095,0.0006019473075866699,0.025618374347686768
test,0.2,0.07851080596446991,0.21909356117248535,0.0007013529539108276,0.028501229360699654
test,0.4,0.06257716566324234,0.2188149243593216,0.000979989767074585,0.035141799598932266
test,0.6,0.020370371639728546,0.21943914890289307,0.0003557652235031128,0.10795454680919647
test,0.8,0.010995371267199516,0.2203885167837143,-0.0005936026573181152,0.17894737422466278
test,0.0,0.14888118207454681,0.20653995871543884,-0.0136030912399292,0.06322881579399109
test,0.01,0.09837963432073593,0.20653535425662994,-0.0135984867811203,0.09568627178668976
test,0.05,0.09116512537002563,0.2065066695213318,-0.013569802045822144,0.10325857251882553
test,0.1,0.08761574327945709,0.20645825564861298,-0.013521388173103333,0.10744165629148483
test,0.2,0.08125000447034836,0.20635677874088287,-0.01341991126537323,0.11585944890975952
test,0.4,0.0689043253660202,0.20596082508563995,-0.01302395761013031,0.13661813735961914
test,0.6,0.022723766043782234,0.20193155109882355,-0.008994683623313904,0.4023769199848175
test,0.8,0.013811728917062283,0.19979327917099,-0.006856411695480347,0.5586591958999634
test,0.0,0.14853395521640778,0.19054684042930603,-0.005249902606010437,0.030389610677957535
test,0.01,0.0952160507440567,0.19054612517356873,-0.005249187350273132,0.04740680754184723
test,0.05,0.08584105223417282,0.19054418802261353,-0.005247250199317932,0.052584268152713776
test,0.1,0.08051697909832001,0.19052688777446747,-0.005229949951171875,0.05606133118271828
test,0.2,0.07357253134250641,0.19050566852092743,-0.005208730697631836,0.06135290861129761
test,0.4,0.05937500298023224,0.19039657711982727,-0.005099639296531677,0.07537361979484558
test,0.6,0.020216049626469612,0.18911032378673553,-0.0038133859634399414,0.2156488597393036
test,0.8,0.009413580410182476,0.18806634843349457,-0.0027694106101989746,0.4262295067310333
test,0.0,0.15042439103126526,0.19867871701717377,-0.010773435235023499,0.03744550049304962
test,0.01,0.10138889402151108,0.19868159294128418,-0.010776311159133911,0.0555555559694767
test,0.05,0.09598765522241592,0.19869205355644226,-0.010786771774291992,0.058681670576334
test,0.1,0.09236111491918564,0.19870345294475555,-0.010798171162605286,0.06098579615354538
