sequence_id,frame_id,probe_bucket,target_mask_priority,disparity_mae,bad_3px,depth_mae,boundary_disp_mae_px,raw_temporal_disp_diff_px,samepixel_temporal_motion_mismatch_px,samepixel_temporal_error_variation_px,valid_pixel_pct
dataset_5_keyframe_2,000406,high_temporal_flicker,flicker_mask,18.422256614302466,76.8975541199439,4.685231700152602,40.84917449951172,39.567569732666016,37.89961242675781,37.84082794189453,0.23017196655273436
dataset_5_keyframe_3,001293,high_motion_mismatch,motion_mismatch_mask,11.282987048985868,86.70305283992083,5.385710998408862,5.573566436767578,31.612878799438477,63.273765563964844,39.507022857666016,0.0508819580078125
dataset_5_keyframe_3,001034,high_motion_mismatch,motion_mismatch_mask,45.55822907880151,95.95454786435047,8.5151328927914,100.88536071777344,39.56116485595703,37.05553436279297,34.19735336303711,0.21586227416992188
dataset_5_keyframe_2,000436,high_motion_mismatch,motion_mismatch_mask,38.786013477622106,92.56568601431565,9.953514997116464,44.141056060791016,36.501426696777344,35.76384735107422,32.91292190551758,0.19260482788085936
dataset_5_keyframe_3,001033,high_motion_mismatch,motion_mismatch_mask,56.69801949033759,97.25517844986872,9.299413635205388,92.54899597167969,37.375919342041016,34.67404556274414,29.935455322265625,0.2196685791015625
dataset_5_keyframe_2,000652,high_motion_mismatch,motion_mismatch_mask,57.54991193732096,99.79124606869652,17.967062900821876,23.433942794799805,33.30275344848633,33.58372116088867,35.07600021362305,0.055551910400390626
dataset_6_keyframe_4,001082,high_motion_mismatch,motion_mismatch_mask,42.38774289824954,99.92947505726251,27.463516742058932,32.93564224243164,34.09979248046875,33.452842712402344,34.328956604003906,0.3667304992675781
dataset_5_keyframe_3,000891,high_motion_mismatch,motion_mismatch_mask,25.8760554117906,99.99399889155997,9.65019684076645,30.053325653076172,35.4328498840332,33.43075180053711,14.186660766601562,0.21612625122070311
dataset_5_keyframe_2,000391,high_motion_mismatch,motion_mismatch_mask,11.530524663104888,90.58229225358954,5.052719914162981,20.435569763183594,33.82313537597656,32.68114471435547,22.477317810058594,0.19633865356445312
dataset_5_keyframe_2,000653,high_motion_mismatch,motion_mismatch_mask,28.606962451358257,99.61407841926521,10.683791695009424,25.53720474243164,32.95443344116211,32.48952865600586,33.937591552734375,0.05436553955078125
dataset_5_keyframe_1,000150,high_motion_mismatch,motion_mismatch_mask,47.89229310858155,99.39677249218391,20.76427665466,19.763641357421875,32.00282669067383,31.211631774902344,31.284469604492188,0.38044052124023436
dataset_5_keyframe_2,000537,high_motion_mismatch,motion_mismatch_mask,32.63638009692895,95.34784774397079,7.272665595984549,20.720129013061523,31.70787239074707,30.36418914794922,27.51828384399414,0.0735198974609375
dataset_5_keyframe_3,000282,high_motion_mismatch,motion_mismatch_mask,67.44784669194607,99.98635052459484,27.551330377836862,56.96983337402344,30.816225051879883,30.1839656829834,31.189849853515625,0.2515281677246094
dataset_5_keyframe_1,000151,high_motion_mismatch,motion_mismatch_mask,20.400994351035255,79.33695188345328,9.912623958758804,18.211021423339844,30.4932918548584,29.78263282775879,29.7939395904541,0.37009658813476565
dataset_5_keyframe_3,000273,high_motion_mismatch,motion_mismatch_mask,87.56714320085476,99.73228607776979,29.32071981343543,56.36985778808594,30.404409408569336,29.756738662719727,30.797988891601562,0.2758636474609375
dataset_5_keyframe_2,000435,high_motion_mismatch,motion_mismatch_mask,68.032103690364,99.1579960780136,14.582009389092557,74.21741485595703,29.204307556152344,28.838834762573242,29.147249221801758,0.19336166381835937
dataset_5_keyframe_2,000434,high_motion_mismatch,motion_mismatch_mask,46.076610360936165,91.1620217288616,10.070766555874428,64.82132720947266,28.802536010742188,28.62844467163086,22.83306121826172,0.193817138671875
dataset_5_keyframe_2,000438,high_motion_mismatch,motion_mismatch_mask,60.60179510222056,98.28672259690092,13.952228936973073,51.53777313232422,28.950944900512695,28.588926315307617,27.82575035095215,0.19197311401367187
dataset_5_keyframe_2,000433,high_motion_mismatch,motion_mismatch_mask,35.858960989885986,92.14040156457833,7.3028261807285775,61.610740661621094,29.164714813232422,28.50673484802246,22.250473022460938,0.19329757690429689
dataset_6_keyframe_4,001077,high_motion_mismatch,motion_mismatch_mask,6.426302749397988,67.37870205469815,5.365337490018037,10.309769630432129,29.006608963012695,28.158329010009766,27.54804229736328,0.37955780029296876
dataset_5_keyframe_2,000378,high_motion_mismatch,motion_mismatch_mask,36.955616242961106,97.34591479758402,12.597200373554461,15.227062225341797,28.838886260986328,27.949932098388672,26.304784774780273,0.20892486572265626
